,Event,TrueNoRings,kmeans,mini_batch,affinity,mean_shift,dbscan
0,0,0,0,0,0,0,0
1,1,1,1,8,15,2,2
2,2,1,1,8,12,3,6
3,3,1,1,8,8,2,5
4,4,1,1,8,10,1,4
5,5,1,1,8,6,3,1
6,6,1,1,8,40,3,5
7,7,1,1,8,15,3,4
8,8,1,1,8,62,1,2
9,9,1,1,8,9,2,3
10,10,1,1,8,7,6,1
11,11,1,1,8,6,2,3
12,12,2,1,8,22,17,3
13,13,1,1,8,10,2,8
14,14,1,1,8,10,3,3
15,15,1,1,8,6,7,2
16,16,2,1,8,7,3,6
17,17,1,1,8,11,2,5
18,18,2,1,8,30,2,7
19,19,2,1,8,10,2,5
20,20,1,1,8,12,2,3
21,21,1,1,8,10,2,7
22,22,1,1,8,6,3,7
23,23,1,1,8,7,2,2
24,24,1,1,8,15,1,3
25,25,2,1,8,27,4,5
26,26,1,1,8,51,3,6
27,27,4,1,8,7,3,4
28,28,3,1,8,8,2,7
29,29,1,1,8,6,2,2
30,30,1,1,8,11,1,3
31,31,1,1,8,13,4,2
32,32,1,1,8,10,3,4
33,33,1,1,8,28,3,5
34,34,1,1,8,8,4,7
35,35,1,1,8,15,2,4
36,36,1,1,8,10,1,3
37,37,1,1,8,20,7,5
38,38,1,1,8,12,7,3
39,39,1,1,8,88,2,2
40,40,3,1,8,13,3,16
41,41,1,1,8,13,2,3
42,42,2,1,8,6,2,2
43,43,1,1,8,10,7,6
44,44,2,1,8,9,3,4
45,45,1,1,8,13,2,3
46,46,1,1,8,16,10,7
47,47,1,1,8,13,1,3
48,48,2,1,8,21,14,3
49,49,1,1,8,14,3,3
